id,item_type,title,chars,words
1143,Still Image,Ételhordók a kapuhoz?!!,84,13
1144,Still Image,"Blick aus dem Sternlager auf die Lagerstraße, 1944",68,12
1145,Still Image,4/28/1945,128,20
1146,Still Image,"Appellplatz des Sternlagers, 1944",57,8
1147,Still Image,4/28/1945,180,30
1148,Still Image,"Anbau an eine Küchenbaracke, 1944",54,8
1149,Still Image,"Blick zwischen zwei Baracken, 1944",49,7
1150,Still Image,Egy kis tábori élet,96,13
1151,Still Image,WC-sétány,94,14
1152,Still Image,Bergen-Belsen Lager I,88,12
1153,Still Image,LATRINA ÓH!,68,10
1154,Still Image,4/28/1945,170,28
1155,Still Image,"Lauskontrolle, IV/45",69,11
1156,Still Image,"Werkstätten, 1944",34,4
1157,Still Image,"Altersheim, 1944",53,8
1158,Still Image,Brot ÓH!,33,4
1159,Still Image,Bergen Belsen 10.C.,43,5
1160,Still Image,Bergen Belsen 1944.VII.9. - VIII.18. - XII.4.,69,9
1161,Still Image,"Schuhberg, 1944",34,6
1162,Still Image,9/17/1944,81,14
1163,Still Image,4/25/1945,13,3
1164,Still Image,4/17/1945,13,3
1165,Still Image,4/17/1945,81,11
1166,Still Image,28 April 1945,192,31
1167,Still Image,<unspecified title>,62,9
1168,Still Image,5/21/1945,11,3
1169,Still Image,4/16/1945,152,25
1170,Still Image,15 April 1945,146,25
1171,Still Image,1-4 May 1945,143,24
1172,Still Image,1-4 May 1945,116,19
1173,Still Image,<unspecified title>,65,10
1174,Still Image,17/18 April 1945,134,23
1175,Still Image,4/25/1945,145,24
1176,Still Image,4/25/1945,145,24
1177,Still Image,Még nem vagyunk 70-en!,105,15
1178,Still Image,Pile of shoes and rubbish tip,72,12
1179,Still Image,4/21/1945,103,14
1180,Still Image,"Hut 211, 20 April 1945",109,17
1181,Still Image,4/28/1945,122,18
1182,Still Image,1. Transportliste des abgehenden Transportes vom 5. Dezember 1944,107,20
1183,Still Image,(Missing Title; NARA),21,3
1184,Still Image,(Missing Title; NARA),21,3
1185,Still Image,Gate to the Belsen camp,189,32
1186,Still Image,(Missing Title; NARA),21,3
1187,Still Image,(Missing Title; NARA),21,3
1188,Still Image,(Missing Title; NARA),21,3
1189,Still Image,(Missing Title; NARA),21,3
1190,Still Image,(Missing Title; NARA),21,3
1191,Still Image,(Missing Title; NARA),21,3
1192,Still Image,(Missing Title; NARA),21,3
1193,Still Image,(Missing Title; NARA),21,3
1194,Still Image,(Missing Title; NARA),21,3
1195,Still Image,(Missing Title; NARA),21,3
1196,Still Image,(Missing Title; NARA),21,3
1197,Still Image,(Missing Title; NARA),21,3
1198,Still Image,(Missing Title; NARA),21,3
1201,Still Image,(Missing Title; NARA),21,3
